Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1           CN   2026   5 53UNJMC     80.00NOVEMBER  2026Lecture 12                    
1           CN   2026   5 53UNPYC      6.67NOVEMBER  2026Lecture 1                     
2           CN   2017   3 75MYJMC     40.00JUNE      2023Lecture 6                     
2           CN   2017   3 75MYPYC     86.67AUGUST    2018Lecture 13                    
3           US   2016   7 65MNJMC     73.33FEBRUARY  2019Lecture 11                    
3           US   2016   7 65MNPYC     60.00FEBRUARY  2024Lecture 9                     
4           CN   2022  12 77MNJMC     80.00NOVEMBER  2026Lecture 12                    
4           CN   2022  12 77MNPYC     46.67AUGUST    2026Lecture 7                     
5           AU   2021   7 62UNJMC     33.33MAY       2026Lecture 5                     
5           AU   2021   7 62UNPYC     13.33MARCH     2021Lecture 2                     
6           US   2026   7 31FYJMC     86.67OCTOBER   2026Lecture 13                    
6           US   2026   7 31FYPYC     66.67MARCH     2026Lecture 10                    
7           AU   2018   2 81MNJMC     40.00MARCH     2018Lecture 6                     
7           AU   2018   2 81MNPYC      6.67SEPTEMBER 2026Lecture 1                     
8           GB   2018   4 50UYJMC      6.67FEBRUARY  2026Lecture 1                     
8           GB   2018   4 50UYPYC     86.67FEBRUARY  2022Lecture 13                    
9           IN   2015   4 21FNJMC     40.00MAY       2026Lecture 6                     
9           IN   2015   4 21FNPYC     20.00SEPTEMBER 2018Lecture 3                     
10          GB   2018   4 19FYJMC     13.33MARCH     2026Lecture 2                     
10          GB   2018   4 19FYPYC     26.67MAY       2022Lecture 4                     
